snapshot,CCGT,Denmark gas supply,Germany external gas supply,Norway gas supply,OCGT,Offshore wind,Onshore wind,Solar,battery storage,pumped hydro
2015-09-16 01:00:00,0.0,0.0,0.0,0.0,0.0,55166.57771358281,25325.221212563127,0.0,14158.745274871775,7000.0
2015-09-16 02:00:00,25635.228066854434,0.0,0.0,0.0,0.0,49282.088071731225,27367.979952524365,0.0,0.0,1561.1781254203052
2015-09-16 03:00:00,0.0,0.0,0.0,0.0,0.0,48671.47004511408,28352.982006423532,0.0,22413.674706788122,9494.645633036023
2015-09-16 04:00:00,26352.471313625807,0.0,0.0,0.0,0.0,50983.71174326836,30795.258528889928,50.07976640193024,0.0,12786.413502422622
2015-09-16 05:00:00,1880.7164565856729,0.0,0.0,0.0,0.0,52198.88079970056,34618.750260699424,3217.2444109762127,23032.724648131163,14480.758630666522
2015-09-16 06:00:00,23994.191885082764,0.0,0.0,0.0,0.0,40754.149261016006,41658.43080212628,12867.299842219078,0.0,10534.72182336832
2015-09-16 07:00:00,15332.432098415144,0.0,0.0,0.0,0.0,33246.31244449583,47199.368207121166,23489.758544376487,0.0,6989.438430280363
2015-09-16 08:00:00,1552.9818287598246,0.0,0.0,0.0,0.0,34500.43933766546,53813.14673088715,34527.11383317728,0.0,0.0
2015-09-16 09:00:00,0.0,0.0,0.0,0.0,0.0,24050.535858033305,55901.008563673226,42964.118164938736,0.0,0.0
2015-09-16 10:00:00,0.0,0.0,0.0,0.0,0.0,18045.754746478746,57149.30908353678,52766.88862146947,0.0,-9025.58581303892
2015-09-16 11:00:00,0.0,0.0,0.0,0.0,0.0,14187.732186217836,53924.099254652494,54636.7206453574,0.0,-7000.0
2015-09-16 12:00:00,0.0,0.0,0.0,0.0,0.0,49997.48090580075,55497.37079746985,50228.10535319494,-40065.42949345039,-2733.2601250427324
2015-09-16 13:00:00,0.0,0.0,0.0,0.0,0.0,17209.460514804767,53805.82589245928,40198.50152334628,0.0,0.0
2015-09-16 14:00:00,0.0,0.0,0.0,0.0,0.0,14407.908214455198,52256.525092838914,30018.278055006638,12926.581869333517,0.0
2015-09-16 15:00:00,0.0,0.0,0.0,0.0,0.0,42974.211765620596,50729.550453043834,16955.873575880083,0.0,0.0
2015-09-16 16:00:00,0.0,0.0,0.0,0.0,0.0,32864.75988281176,51064.164686231365,7343.2908422290975,25159.61540714042,-6019.045730842181
2015-09-16 17:00:00,0.0,0.0,0.0,0.0,0.0,67100.71362447599,47233.86368537786,0.0,0.0,-2215.187975060977
2015-09-16 18:00:00,0.0,0.0,0.0,0.0,0.0,78146.30529856338,31847.676473426043,0.0,0.0,1470.108039968282
2015-09-16 19:00:00,0.0,0.0,0.0,0.0,0.0,81447.51431559614,29926.07452655691,0.0,0.0,-6294.320671140138
2015-09-16 20:00:00,0.0,0.0,0.0,0.0,0.0,85826.95476929145,21963.36103886168,0.0,-5144.220325525872,-3752.2294512492113
2015-09-16 21:00:00,0.0,0.0,0.0,0.0,0.0,79634.20385755997,16100.077252305684,0.0,0.0,-2827.6248918045694
2015-09-16 22:00:00,0.0,0.0,0.0,0.0,0.0,72509.76382294532,15492.214514648824,0.0,0.0,0.0
2015-09-16 23:00:00,0.0,0.0,0.0,0.0,0.0,71270.83848166534,15079.008069963767,0.0,0.0,0.0
2015-09-17 00:00:00,0.0,0.0,0.0,0.0,0.0,71516.71654440202,21580.48981357256,0.0,0.0,-8181.865777345812
2015-09-17 01:00:00,0.0,0.0,0.0,0.0,0.0,79223.79141952354,12092.211792081376,0.0,0.0,-7000.0
2015-09-17 02:00:00,0.0,0.0,0.0,0.0,0.0,96681.47435295953,11718.172751943834,0.0,-21622.736623572615,0.0
2015-09-17 03:00:00,0.0,0.0,0.0,0.0,0.0,81201.13988687002,12120.444180766928,0.0,0.0,0.0
2015-09-17 04:00:00,0.0,0.0,0.0,0.0,0.0,95784.62301013152,13182.77409115681,0.0,0.0,-2241.5137346137126
2015-09-17 05:00:00,0.0,0.0,0.0,0.0,0.0,54610.1116253746,58730.34012957219,2937.4460831316974,0.0,0.0
